"route_name","state_num","route","st_abrev","country","population_100km","population_200km","population_300km","pop_5th_percentile_100km","pop_5th_percentile_200km","pop_5th_percentile_300km","bcr","latitude","longitude","n_surveys_total","n_surveys_since_2018","Surveyed_by_in_1966","Surveyed_by_in_1967","Surveyed_by_in_1968","Surveyed_by_in_1969","Surveyed_by_in_1970","Surveyed_by_in_1971","Surveyed_by_in_1972","Surveyed_by_in_1973","Surveyed_by_in_1974","Surveyed_by_in_1975","Surveyed_by_in_1976","Surveyed_by_in_1977","Surveyed_by_in_1978","Surveyed_by_in_1979","Surveyed_by_in_1980","Surveyed_by_in_1981","Surveyed_by_in_1982","Surveyed_by_in_1983","Surveyed_by_in_1984","Surveyed_by_in_1985","Surveyed_by_in_1986","Surveyed_by_in_1987","Surveyed_by_in_1988","Surveyed_by_in_1989","Surveyed_by_in_1990","Surveyed_by_in_1991","Surveyed_by_in_1992","Surveyed_by_in_1993","Surveyed_by_in_1994","Surveyed_by_in_1995","Surveyed_by_in_1996","Surveyed_by_in_1997","Surveyed_by_in_1998","Surveyed_by_in_1999","Surveyed_by_in_2000","Surveyed_by_in_2001","Surveyed_by_in_2002","Surveyed_by_in_2003","Surveyed_by_in_2004","Surveyed_by_in_2005","Surveyed_by_in_2006","Surveyed_by_in_2007","Surveyed_by_in_2008","Surveyed_by_in_2009","Surveyed_by_in_2010","Surveyed_by_in_2011","Surveyed_by_in_2012","Surveyed_by_in_2013","Surveyed_by_in_2014","Surveyed_by_in_2015","Surveyed_by_in_2016","Surveyed_by_in_2017","Surveyed_by_in_2018","Surveyed_by_in_2019","Surveyed_by_in_2021","Surveyed_by_in_2022","Surveyed_by_in_2023"
"WINEFRED LAKE",4,46,"AB","CA",2059,172400,1692533,FALSE,FALSE,FALSE,6,55.55421,-110.90708000000001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100142,NA,NA,NA,1100142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT SMITH",4,77,"AB","CA",2253,4404,35562,FALSE,TRUE,FALSE,6,59.98857,-111.83849,25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090578,1140359,1030353,1040191,1040191,980691,980691,980691,980691,NA,980691,1090961,1050059,1050059,1050059,1050059,NA,1050059,1050059,1050059,NA,1050059,1050059,1050059,1050059,1050059,1050059,1041230,NA
"HAY CAMP",4,79,"AB","CA",2253,4404,15528,FALSE,TRUE,TRUE,6,59.86175,-111.61484,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980691,NA,980691,1090961,1050059,1050059,1050059,1050059,1050059,1050059,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041230,NA
"CONKLIN",4,147,"AB","CA",2286,167133,1677270,FALSE,FALSE,FALSE,6,55.669230000000006,-111.10694,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEACE POINT",4,78,"AB","CA",3249,7182,101155,FALSE,FALSE,FALSE,6,59.31101999999999,-112.48716000000002,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040191,1040191,980691,980691,980691,980691,NA,980691,990681,1050059,1050059,1050059,1050059,NA,NA,NA,1050059,1050059,1050059,1050059,1050059,1050059,1050059,1050059,1041230,NA
"SUNWAPTA FLS",4,125,"AB","CA",10533,102645,3448535,FALSE,FALSE,FALSE,10,52.48771,-117.51832,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040191,NA,NA,NA,1040191,NA,NA,NA,NA,NA,NA,NA,NA,1140013,NA,NA,NA,NA,NA,1000332,1000332,1000332,1000332,NA,1000332,1000332,1000332,1000332,1000332,1000332,NA,1091010,1091010,1091010,1091010,1091010,1091010,1091010,1091010,1091010,1091010,1091010,NA,1091010,1091010,1091010,1091010
"WINDY POINT",4,24,"AB","CA",11708,790037,3720334,FALSE,FALSE,FALSE,10,52.258720000000004,-116.39168000000001,31,3,NA,NA,NA,NA,NA,NA,NA,NA,1020092,1020092,1020092,NA,NA,NA,1020092,NA,1020092,NA,1020092,1020145,1020145,NA,1020092,1020092,1020145,NA,1020092,1020092,1020092,1020092,1020244,1020244,1020244,NA,1020244,1020244,NA,1020244,1020092,1020092,NA,NA,NA,NA,990092,990092,NA,1020507,1020507,NA,NA,1020507,1020507,NA,1020507,NA,990092
"SANDY LAKE",4,149,"AB","CA",12425,142444,1744255,FALSE,FALSE,FALSE,6,55.903659999999995,-113.69851,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080313,1080313,NA,1080313,NA,980749,NA,NA,980749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHINOOK",4,311,"AB","CA",12627,271265,3835349,FALSE,FALSE,FALSE,11,51.44452,-110.91913000000001,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,1151048,NA,NA,NA,NA,1100259,NA,NA,NA,NA,NA,NA
"HOFF",4,34,"AB","CA",13721,157407,523347,FALSE,FALSE,FALSE,10,53.81254,-118.48345,19,3,NA,NA,NA,NA,NA,NA,NA,NA,1140110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040191,1040191,1040191,1160228,1160228,1160228,1160228,1160228,NA,1160228,NA,NA,NA,NA,NA,NA,NA,1090633,NA,NA,NA,1040191,1040191,1040191,1040191,1040191,1040191,1040191,1040191,NA,NA
